TIMBER TRENCH SHORING -- MINIMUM TIMBER REQUIREMENTS *,,,,,,,,,,,,,,
SOIL TYPE A  P(a) = 25 X H + 72 psf (2 ft Surcharge),,,,,,,,,,,,,,
Depth of Trench  (Feet),"Size (actual, not nominal) and Spacing of Members **",,,,,,,,,,,,,
,Cross Braces,,,,,,,Wales,,Uprights,,,,
,Horizontal Spacing (Feet),Vertical Spacing (Feet),Width of Trench (Feet),,,,,Vertical Spacing (Feet),Size  (Inches),Maximum Allowable Horizontal Spacing (Feet),,,,
,,,UP TO 4,UP TO 6,UP TO 9,UP TO 12,UP TO 15,,,CLOSE,4,5,6,8
,,,,,,,,,,,,,,
5 TO 10,UP TO 6,4,4X4,4X4,4X4,4X4,4X6,–,Not Req'd,,,,4X6,
,UP TO 8,4,4X4,4X4,4X4,4X6,4X6,–,Not Req'd,,,,,4X8
,UP TO 10,4,4X6,4X6,4X6,6X6,6X6,4,8X8,,,4X6,,
,UP TO 12,4,4X6,4X6,4X6,6X6,6X6,4,8X8,,,,4X6,
10 TO 15,UP TO 6,4,4X4,4X4,4X4,6X6,6X6,–,Not Req'd,,,,4X10,
,UP TO 8,4,4X6,4X6,4X6,6X6,6X6,4,6X8,,4X6,,,
,UP TO 10,4,6X6,6X6,6X6,6X6,6X6,4,8X8,,,4X8,,
,UP TO 12,4,6X6,6X6,6X6,6X6,6X6,4,8X10,,4X6,,4X10,
15 TO 20,UP TO 6,4,6X6,6X6,6X6,6X6,6X6,4,6X8,3X6,,,,
,UP TO 8,4,6X6,6X6,6X6,6X6,6X6,4,8X8,3X6,4X12,,,
,UP TO 10,4,6X6,6X6,6X6,6X6,6X8,4,8X10,3X6,,,,
,UP TO 12,4,6X6,6X6,6X6,6X8,6X8,4,8X12,3X6,4X12,,,
OVER 20,SEE NOTE 1,,,,,,,,,,,,,
C-2.1 (Soil Type A – Douglas Fir Members),,,,,,,,,,,,,,
* Douglas fir or equivalent with a bending strength not less than 1500 psi.,,,,,,,,,,,,,,
** Manufactured members of equivalent strength may be substituted for wood.,,,,,,,,,,,,,,
