TIMBER TRENCH SHORING -- MINIMUM TIMBER REQUIREMENTS *,,,,,,,,,,,,,,
SOIL TYPE A  P(a) = 25 X H + 72 psf (2 ft Surcharge),,,,,,,,,,,,,,
Depth of Trench  (Feet),"Size (actual, not nominal) and Spacing of Members **",,,,,,,,,,,,,
,Cross Braces,,,,,,,Wales,,Uprights,,,,
,Horizontal Spacing (Feet),Vertical Spacing (Feet),Width of Trench (Feet),,,,,Vertical Spacing (Feet),Size  (Inches),Maximum Allowable Horizontal Spacing (Feet),,,,
,,,UP TO 4,UP TO 6,UP TO 9,UP TO 12,UP TO 15,,,CLOSE,4,5,6,8
,,,,,,,,,,,,,,
5 TO 10,UP TO 6,4,4X4,4X4,4X6,6X6,6X6,–,Not Req'd,,,,2X6,
,UP TO 8,4,4X4,4X4,4X6,6X6,6X6,–,Not Req'd,,,,,2X8
,UP TO 10,4,4X6,4X6,4X6,6X6,6X6,4,8X8,,,2X6,,
,UP TO 12,4,4X6,4X6,6X6,6X6,6X6,4,8X8,,,,2X6,
10 TO 15,UP TO 6,4,4X4,4X4,4X6,6X6,6X6,–,Not Req'd,,,,3X8,
,UP TO 8,4,4X6,4X6,6X6,6X6,6X6,4,8X8,,2X6,,,
,UP TO 10,4,6X6,6X6,6X6,6X8,6X8,4,8X10,,,2X6,,
,UP TO 12,4,6X6,6X6,6X6,6X8,6X8,4,10X10,,,,3X8,
15 TO 20,UP TO 6,4,6X6,6X6,6X6,6X8,6X8,4,6X8,3X6,,,,
,UP TO 8,4,6X6,6X6,6X6,6X8,6X8,4,8X8,3X6,,,,
,UP TO 10,4,8X8,8X8,8X8,8X8,8X10,4,8X10,3X6,,,,
,UP TO 12,4,8X8,8X8,8X8,8X8,8X10,4,10X10,3X6,,,,
OVER 20,SEE NOTE 1,,,,,,,,,,,,,
C-1.1 (Soil Type A – Mixed Oak Members),,,,,,,,,,,,,,
* Mixed oak or equivalent with a bending strength not less than 850 psi.,,,,,,,,,,,,,,
** Manufactured members of equivalent strength may be substituted for wood.,,,,,,,,,,,,,,
