TIMBER TRENCH SHORING -- MINIMUM TIMBER REQUIREMENTS *,,,,,,,,,,,,,,
SOIL TYPE B  P(a) = 45 X H + 72 psf (2 ft Surcharge),,,,,,,,,,,,,,
Depth of Trench  (Feet),"Size (actual, not nominal) and Spacing of Members **",,,,,,,,,,,,,
,Cross Braces,,,,,,,Wales,,Uprights,,,,
,Horizontal Spacing (Feet),Vertical Spacing (Feet),Width of Trench (Feet),,,,,Vertical Spacing (Feet),Size  (Inches),Maximum Allowable Horizontal Spacing (Feet),,,,
,,,UP TO 4,UP TO 6,UP TO 9,UP TO 12,UP TO 15,,,CLOSE,4,5,6,8
,,,,,,,,,,,,,,
5 TO 10,UP TO 6,5,4X6,4X6,6X6,6X6,6X6,5,6X8,,,2X6,,
,UP TO 8,5,6X6,6X6,6X6,6X8,6X8,5,8X10,,,2X6,,
,UP TO 10,5,6X6,6X6,6X6,6X8,6X8,5,10X10,,,2X6,,
,See Note 1,,,,,,,,,,,,,
10 TO 15,UP TO 6,5,6X6,6X6,6X6,6X8,6X8,5,8X8,,2X6,,,
,UP TO 8,5,6X6,6X6,6X6,8X8,8X8,5,10X10,,2X6,,,
,UP TO 10,5,8X8,8X8,8X8,8X8,8X10,5,10X12,,2X6,,,
,See Note 1,,,,,,,,,,,,,
15 TO 20,UP TO 6,5,6X8,6X8,6X8,8X8,8X8,5,8X10,3X6,,,,
,UP TO 8,5,8X8,8X8,8X8,8X8,8X10,5,10X12,3X6,,,,
,UP TO 10,5,8X8,8X8,8X10,8X10,10X10,5,12X12,3X6,,,,
,See Note 1,,,,,,,,,,,,,
OVER 20,SEE NOTE 1,,,,,,,,,,,,,
C-1.2 (Soil Type B – Mixed Oak Members),,,,,,,,,,,,,,
* Mixed oak or equivalent with a bending strength not less than 850 psi.,,,,,,,,,,,,,,
** Manufactured members of equivalent strength may be substituted for wood.,,,,,,,,,,,,,,
